Incident ID,Incident Number,Incident Category
1,190004380,Robbery
1,180970274,Assault
1,180930557,Recovered Vehicle
1,186281164,Larceny Theft
1,180934935,Weapons Offense
2,190021732,Fraud
2,180914965,Malicious Mischief
1,180915004,Larceny Theft
1,180945891,Malicious Mischief
1,180922344,Non-Criminal
1,196002308,Malicious Mischief
1,180947035,Non-Criminal
1,180949887,Non-Criminal
1,180968489,Malicious Mischief
1,180953838,Assault
3,180975860,Offences Against The Family And Children
1,180936442,Warrant
1,180934941,Motor Vehicle Theft
1,180962431,Other Miscellaneous
1,186284403,Larceny Theft
1,180954836,Larceny Theft
1,186292810,Larceny Theft
2,190094529,Fraud
1,180974414,Offences Against The Family And Children
1,180947778,Motor Vehicle Theft
1,180963718,Assault
1,186281227,Malicious Mischief
1,180984742,Larceny Theft
1,180917038,Recovered Vehicle
1,180932741,Larceny Theft
2,180984861,Assault
1,190006728,Motor Vehicle Theft
